,molregno,chembl_id,max_phase,canonical_smiles,standard_inchi_key,mw_freebase,molecular_weight,alogp,hba,hbd,psa,rtb,num_ro5_violations,aromatic_rings,heavy_atoms,qed_weighted,np_likeness_score,natural_product,prodrug,ro3_pass,oral,parenteral,topical
11823,2197549,CHEMBL3989678,4.0,C1CNCCN1.C1CNCCN1.C1CNCCN1.O.O=C(O)CC(O)(CC(=O)O)C(=O)O.O=C(O)CC(O)(CC(=O)O)C(=O)O,LWMBPKJYEQGDLN-UHFFFAOYSA-N,642.66,660.67,,,,,,,,,,,0,0,,1,0,0
11833,2197559,CHEMBL3989688,2.0,CC(/C=C/C=C1/N(CCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc2C1(C)C)=C\C=C\C1=[N+](CCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc2C1(C)C.[H+].[H+].[H+],WKWHOLCUESSZIQ-UHFFFAOYSA-N,770.93,770.93,,,,,,,,,,,1,0,,0,0,0
11841,2197569,CHEMBL3989698,4.0,N[C@@H]1C[C@H]1c1ccccc1.N[C@H]1C[C@@H]1c1ccccc1.O=S(=O)(O)O,BKPRVQDIOGQWTG-ICOOEGOYSA-N,266.39,364.47,,,,,,,,,,,0,0,,1,0,0
11843,2197571,CHEMBL3989700,2.0,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@@H](Oc2ccc3c(O)c(NC(=O)c4c[nH]c(C(=O)Nc5c(O)c6ccc(O[C@H]7OC(C)(C)[C@H](OC)[C@@H](OC(=O)c8ccc(C)[nH]8)[C@H]7O)c(C)c6oc5=O)c4C)c(=O)oc3c2C)OC1(C)C,WTIJXIZOODAMJT-WBACWINTSA-N,1110.09,1110.09,,,,,,,,,,,1,0,,0,0,0
11848,2197576,CHEMBL3989705,2.0,CCC(=O)[O-].O.[Na+],HOAUAOBUGFYWMK-UHFFFAOYSA-M,96.06,114.08,,,,,,,,,,,0,0,,0,0,0
11892,2197626,CHEMBL3989755,2.0,CC(CCC(=O)Oc1ccc(C2(c3ccc(OC(=O)CCC(C)[C@H]4CC[C@H]5[C@@H]6C(=O)CC7CC(=O)CC[C@]7(C)[C@H]6CC(=O)[C@]45C)cc3)C(=O)Nc3ccccc32)cc1)[C@H]1CC[C@H]2[C@@H]3C(=O)CC4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,LKJGKLIBASNLKR-NILNNKIFSA-N,1086.38,1086.38,,,,,,,,,,,1,0,,0,0,0
11899,2197637,CHEMBL3989766,4.0,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O[C@H]3C[C@](C)(N)[C@@H](O)[C@H](C)O3)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(NCc3ccc(-c4ccc(Cl)cc4)cc3)[C@@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O.O=P(O)(O)O.O=P(O)(O)O,PWTROOMOPLCZHB-BHYQHFGMSA-N,1793.12,1989.11,,,,,,,,,,,0,0,,0,1,0
11930,2197677,CHEMBL3989806,4.0,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,DGIAUNUPXILTJW-VRWDCWMNSA-N,1139.76,1530.19,,,,,,,,,,,0,0,,0,1,1
11945,2197693,CHEMBL3989822,4.0,O.O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],PJAHUDTUZRZBKM-UHFFFAOYSA-K,306.39,324.41,,,,,,,,,,,0,0,,1,0,0
11965,2197714,CHEMBL3989843,4.0,N[C@@H]1C[C@H]1c1ccccc1.N[C@H]1C[C@@H]1c1ccccc1,IGLYMJRIWWIQQE-QUOODJBBSA-N,266.39,266.39,,,,,,,,,,,0,0,,1,0,0
