,std_smiles,canonical_smiles,max_phase,oral,parenteral,prodrug,max_phase_num
2658,C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,3,0,0,0,3
2659,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,3,0,0,0,3
2660,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(n3cnc4ccccc43)=CC[C@@H]12,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(n3cnc4ccccc43)=CC[C@@H]12,3,0,0,0,3
2661,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,3,0,0,0,3
2662,C[N+](C)(C)CC(O)CC(=O)[O-],C[N+](C)(C)CC(O)CC(=O)[O-],3,0,0,0,3
2663,C[N+](C)(C)CCOCF,C[N+](C)(C)CCOCF,3,0,0,0,3
2664,C[N+](C)(C)CCOC[18F],C[N+](C)(C)CCOC[18F],3,0,0,0,3
2665,C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,3,0,0,0,3
2666,C[N+](C)(CF)CCO,C[N+](C)(CF)CCO,3,0,0,0,3
2667,C[N+](C)(C[18F])CCO,C[N+](C)(C[18F])CCO,3,0,0,0,3
2668,C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21,C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21,3,0,0,0,3
2669,C[N+]1(CC2CC2)[C@@H]2C[C@@H](OC(=O)C(CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,C[N+]1(CC2CC2)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,3,0,0,0,3
2670,C[S+](CCC(N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,3,0,0,0,3
