molregno,chembl_id,max_phase,canonical_smiles,standard_inchi_key,mw_freebase,molecular_weight,alogp,hba,hbd,psa,rtb,num_ro5_violations,aromatic_rings,heavy_atoms,qed_weighted,np_likeness_score,natural_product,prodrug,ro3_pass,oral,parenteral,topical
1378723,CHEMBL2106453,2,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CCCCCCC(=O)N(C)CCS(=O)(=O)[O-])[C@@]2(C)C=CC(=O)C=C12.[Na+],CDMLLMOLWUKNEK-AOHDELFNSA-M,651.82,673.8,3.04,9,3,175.58,13,1,0,45,0.15,1.23,1,0,N,0,0,0
1378729,CHEMBL2106459,-1,CN1CCN2c3ccccc3Cn3cccc3C2C1.O=C(O)/C=C\C(=O)O,JJTOHZLQMBVMPF-BTJKTKAUSA-N,253.35,369.42,2.34,3,0,11.41,0,0,2,19,0.71,-1.01,0,0,Y,0,0,0
1378730,CHEMBL2106460,2,Clc1cc(-c2ccccc2)ccc1OCCCN1CCOCC1,UXHRUDKGYGPMIE-UHFFFAOYSA-N,331.84,331.84,4.11,3,0,21.7,6,0,2,23,0.74,-1.4,0,0,N,0,0,0
1378732,CHEMBL2106462,2,CN(C)C(C)(CO)Cc1ccc(Cl)c(Cl)c1,FWYRGHMKHZXXQX-UHFFFAOYSA-N,262.18,262.18,2.85,2,1,23.47,4,0,1,16,0.9,-0.56,0,0,N,0,0,0
1378733,CHEMBL2106463,2,O=C(O)C1CCN1C12CC3CC(CC(C3)C1)C2,VPBLOJFGPORKQA-UHFFFAOYSA-N,235.33,235.33,2.11,2,1,40.54,2,0,0,17,0.8,0.29,0,0,Y,0,0,0
1378735,CHEMBL2106465,2,O=C1N=C2SCCN2C(=O)C1Cc1ccc(Cl)cc1,QSKVYHYMQQQAFS-UHFFFAOYSA-N,294.76,294.76,1.97,3,0,49.74,2,0,1,19,0.78,-0.92,0,0,Y,0,0,0
1378736,CHEMBL2106466,2,CC1Oc2ccc(Cl)cc2N(CC(O)CO)C1=O,YIAHFLWLLVEPPS-UHFFFAOYSA-N,271.7,271.7,0.81,4,2,70,3,0,1,18,0.85,-0.75,0,0,N,0,0,0
1378737,CHEMBL2106467,-1,Cc1ccc(C(C)C)c(OCC2=NCCN2)c1,QRORCRWSRPKEHR-UHFFFAOYSA-N,232.33,232.33,2.5,3,1,33.62,4,0,1,17,0.87,-0.52,1,0,N,0,0,0
1378738,CHEMBL2106468,1,CCN(CC)C(=O)CNC(=O)c1cc(OC)c(OC)c(OC)c1,NLRFFZRHTICQBO-UHFFFAOYSA-N,324.38,324.38,1.31,5,1,77.1,8,0,1,23,0.78,-1.02,0,0,N,0,0,0
1378739,CHEMBL2106469,2,Oc1cc(O)c2c(c1)O[C@H](c1ccc3c(c1)OC(c1ccccc1)(c1ccccc1)O3)[C@@H](O)C2,NGJOOUAZHCZCOW-WNCULLNHSA-N,454.48,454.48,4.81,6,3,88.38,3,0,4,34,0.41,1.3,0,0,N,0,0,0
1378740,CHEMBL2106470,-1,CC(C)N[C@@H]1C2CCC(CC2)[C@@]1(O)c1ccc(Cl)c(Cl)c1.CS(=O)(=O)O,VALAKNBZUXDQCX-YTOIOIGGSA-N,328.28,424.39,4.37,2,2,32.26,3,0,1,21,0.86,0.13,0,0,N,0,0,0
1378741,CHEMBL2106471,2,OCC1COC(CI)O1,NEIPZWZQHXCYDV-UHFFFAOYSA-N,244.03,244.03,0.16,3,1,38.69,2,0,0,9,0.55,1.3,0,0,Y,0,0,0
1378742,CHEMBL2106472,2,CC(C)C(O)C1CCCCC1,DZNUOUOIPRQTTB-UHFFFAOYSA-N,156.27,156.27,2.58,1,1,20.23,2,0,0,11,0.65,0.72,0,0,Y,0,0,0
1378744,CHEMBL2106474,2,CC1C2Cc3ccccc3C1(C)CCN2CC1CC1,SVKVWRTVTPUQBY-UHFFFAOYSA-N,255.41,255.41,3.62,1,0,3.24,2,0,1,19,0.78,1.11,0,0,N,0,0,0
1378745,CHEMBL2106475,2,COCOC(=O)[C@@H]1N2C(=O)[C@@H](N3C(=O)C(c4ccc(O)cc4)NC3(C)C)[C@H]2SC1(C)C,XMNFWSAYWSUJMH-KRWWSPQJSA-N,449.53,449.53,1.18,8,2,108.41,5,0,1,31,0.39,0.6,1,0,N,0,0,0
1378747,CHEMBL2106477,2,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@@H](N)c3ccc(O)c(Cl)c3)[C@H]2SC1,RULITNAIJFZYLO-FIXISWKDSA-N,397.84,397.84,0.8,6,4,132.96,4,0,1,26,0.55,0.21,1,0,N,0,0,0
1378748,CHEMBL2106478,2,CN(CC[N+]1(C)CCCC1)C(=O)C(O)(c1ccccc1)c1cccs1.[Br-],UAZAHFDNEPPZHN-UHFFFAOYSA-M,359.52,439.42,2.68,3,1,40.54,6,0,2,25,0.81,-0.65,0,0,N,0,0,0
1378749,CHEMBL2106479,2,CC(C)C(CCCCCC(=O)O)NCc1ccc(F)cc1,YZYKBQUWMPUVEN-UHFFFAOYSA-N,295.4,295.4,3.98,2,2,49.33,10,0,1,21,0.64,-0.3,0,0,N,0,0,0
